"scientificName","family","order","class","phylum","kingdom","LifeSpan"
"Tinca tinca","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Animalia",NA
"Salix alba","Polycitoridae","Aplousobranchia","Ascidiacea","Chordata","Animalia",NA
"Crepidula fornicata","Calyptraeidae","Littorinimorpha","Gastropoda","Mollusca","Animalia",NA
"Arcuatula senhousia","Mytilidae","Mytilida","Bivalvia","Mollusca","Animalia",NA
"Paralithodes camtschaticus","Lithodidae","Decapoda","Malacostraca","Arthropoda","Animalia",NA
"Metacarcinus magister","Cancridae","Decapoda","Malacostraca","Arthropoda","Animalia",NA
"Asterias amurensis","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","Animalia",NA
"Littorina littorea","Littorinidae","Littorinimorpha","Gastropoda","Mollusca","Animalia",NA
"Haliotis rubra","Haliotidae","Lepetellida","Gastropoda","Mollusca","Animalia",NA
"Austrominius modestus","Elminiidae",NA,NA,"Arthropoda","Animalia",NA
"Malurus splendens","Maluridae","Passeriformes","Aves","Chordata","Animalia",NA
"Recurvirostra americana","Recurvirostridae","Charadriiformes","Aves","Chordata","Animalia",NA
"Aglais urticae","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Animalia",NA
"Danaus plexippus","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Animalia",NA
"Dendrocopus major",NA,NA,"Aves","Chordata","Animalia",NA
"Lacerta agilis","Lacertidae","Squamata","Reptilia","Chordata","Animalia",NA
"Mustelus palumbes","Triakidae","Carcharhiniformes","Elasmobranchii","Chordata","Animalia",NA
"Parus montanus","Paridae","Passeriformes","Aves","Chordata","Animalia",NA
"Spodoptera exigua","Noctuidae","Lepidoptera","Insecta","Arthropoda","Animalia",NA
"Syrphus ribesii","Syrphidae","Diptera","Insecta","Arthropoda","Animalia",NA
"Xiphias gladius","Xiphiidae","Perciformes","Actinopterygii","Chordata","Animalia",NA
